,DATE,MinTemp,MaxTemp,AvgTemp,Sunrise,Sunset
0,1/1/2014,33.0,46.0,40.0,657,1756
1,1/2/2014,35.0,50.0,43.0,657,1756
2,1/3/2014,36.0,45.0,41.0,657,1757
3,1/4/2014,32.0,41.0,37.0,658,1757
4,1/5/2014,24.0,38.0,31.0,658,1758
5,1/6/2014,22.0,39.0,31.0,658,1759
6,1/7/2014,28.0,45.0,37.0,658,1759
7,1/8/2014,30.0,41.0,36.0,659,1800
8,1/9/2014,29.0,42.0,36.0,659,1801
9,1/10/2014,30.0,47.0,39.0,659,1801
10,1/11/2014,32.0,47.0,40.0,659,1802
11,1/12/2014,30.0,47.0,39.0,659,1803
12,1/13/2014,29.0,42.0,36.0,659,1803
13,1/14/2014,31.0,47.0,39.0,659,1804
14,1/15/2014,35.0,51.0,43.0,659,1804
15,1/16/2014,35.0,55.0,45.0,700,1805
16,1/17/2014,42.0,57.0,50.0,700,1806
17,1/18/2014,38.0,54.0,46.0,700,1806
18,1/19/2014,37.0,51.0,44.0,700,1807
19,1/20/2014,36.0,53.0,45.0,659,1808
20,1/21/2014,40.0,55.0,48.0,659,1808
21,1/22/2014,31.0,44.0,38.0,659,1809
22,1/23/2014,31.0,46.0,39.0,659,1810
23,1/24/2014,39.0,54.0,47.0,659,1810
24,1/25/2014,41.0,62.0,52.0,659,1811
25,1/26/2014,42.0,58.0,50.0,659,1811
26,1/27/2014,38.0,51.0,45.0,659,1812
27,1/28/2014,29.0,39.0,34.0,658,1813
28,1/29/2014,30.0,36.0,33.0,658,1813
29,1/30/2014,28.0,39.0,34.0,658,1814
30,1/31/2014,33.0,42.0,38.0,658,1814
31,2/1/2014,35.0,50.0,43.0,657,1815
32,2/2/2014,37.0,49.0,43.0,657,1816
33,2/3/2014,36.0,50.0,43.0,657,1816
34,2/4/2014,36.0,55.0,46.0,656,1817
35,2/5/2014,38.0,53.0,46.0,656,1817
36,2/6/2014,39.0,49.0,44.0,655,1818
37,2/7/2014,39.0,52.0,46.0,655,1818
38,2/8/2014,37.0,52.0,45.0,655,1819
39,2/9/2014,34.0,57.0,46.0,654,1819
40,2/10/2014,36.0,54.0,45.0,654,1820
41,2/11/2014,34.0,52.0,43.0,653,1820
42,2/12/2014,35.0,52.0,44.0,653,1821
43,2/13/2014,35.0,49.0,42.0,652,1821
44,2/14/2014,36.0,48.0,42.0,652,1822
45,2/15/2014,38.0,55.0,47.0,651,1822
46,2/16/2014,36.0,46.0,41.0,651,1823
47,2/17/2014,36.0,43.0,40.0,650,1823
48,2/18/2014,37.0,45.0,41.0,649,1823
49,2/19/2014,35.0,46.0,41.0,649,1824
50,2/20/2014,33.0,47.0,40.0,648,1824
51,2/21/2014,34.0,48.0,41.0,647,1825
52,2/22/2014,34.0,48.0,41.0,647,1825
53,2/23/2014,33.0,48.0,41.0,646,1825
54,2/24/2014,33.0,50.0,42.0,646,1826
55,2/25/2014,33.0,47.0,40.0,645,1826
56,2/26/2014,36.0,50.0,43.0,644,1827
57,2/27/2014,36.0,55.0,46.0,643,1827
58,2/28/2014,36.0,57.0,47.0,643,1827
